entry_date,ticker,sector,lgbm_prob,entry_price,exit_price,exit_date,exit_day,reason,pnl_gross,pnl_net,rule
2017-04-11,086900,바이오,0.6194271662206375,382669.0,384965.0,2017-04-19,5,time_exit,0.005999963414857226,0.0018999634148572269,A
2017-04-25,086060,제약,0.6915654437189324,5380.0,5390.0,2017-05-08,5,time_exit,0.0018587360594795538,-0.0022412639405204457,A
2017-05-10,154030,바이오,0.5586734121813487,4500.0,4690.0,2017-05-18,5,time_exit,0.042222222222222223,0.038122222222222224,A
2017-05-19,208640,게임,0.6970392618501503,1350.0,1282.5,2017-05-29,5,stop_loss,-0.05,-0.0541,A
2017-05-31,047810,방산,0.6274337736615972,63400.0,63600.0,2017-06-09,5,time_exit,0.0031545741324921135,-0.000945425867507886,A
2017-06-12,900140,자동차,0.8060911090440506,3236.0,3074.2,2017-06-15,2,stop_loss,-0.05000000000000006,-0.05410000000000006,A
2017-06-20,032820,방산,0.6289196465039559,613.0,582.35,2017-06-22,1,stop_loss,-0.04999999999999996,-0.05409999999999996,A
2017-06-23,148780,소프트웨어,0.6476145475086262,24200.0,23300.0,2017-07-03,5,time_exit,-0.0371900826446281,-0.0412900826446281,A
2017-07-05,060240,조선,0.5827842927307441,114358.0,108640.09999999999,2017-07-13,5,stop_loss,-0.05000000000000008,-0.05410000000000008,A
2017-07-14,003620,자동차,0.7563669121719321,32142.0,32652.0,2017-07-24,5,time_exit,0.015867089789061043,0.011767089789061044,A
2017-07-28,014940,조선,0.6770663080896949,1350.0,1282.5,2017-07-31,0,stop_loss,-0.05,-0.0541,A
2017-08-01,094860,게임,0.5964739331636425,2385.0,2340.0,2017-08-09,5,time_exit,-0.018867924528301886,-0.022967924528301886,A
2017-08-11,061970,반도체,0.8355305101823078,2400.0,2640.0,2017-08-22,5,take_profit,0.1,0.09590000000000001,A
2017-08-23,005385,자동차,0.6463502747175377,99500.0,96400.0,2017-08-31,5,time_exit,-0.031155778894472363,-0.03525577889447236,A
2017-09-05,011000,바이오,0.7676801209816712,3383.0,3213.85,2017-09-08,2,stop_loss,-0.050000000000000024,-0.05410000000000002,A
2017-09-11,005385,자동차,0.7845427604723155,91600.0,87020.0,2017-09-15,3,stop_loss,-0.05,-0.0541,A
2017-09-18,005385,자동차,0.5699889498699283,90000.0,93400.0,2017-09-26,5,time_exit,0.03777777777777778,0.03367777777777778,A
2017-09-27,230980,방산,0.9065710225674697,1102.0,1162.0,2017-10-13,5,time_exit,0.0544464609800363,0.0503464609800363,A
2017-10-16,900140,자동차,0.7535781213083964,2484.0,2623.0,2017-10-24,5,time_exit,0.055958132045088566,0.051858132045088566,A
2017-10-25,086900,바이오,0.7663663769538803,344552.0,327324.39999999997,2017-10-26,0,stop_loss,-0.0500000000000001,-0.0541000000000001,A
2017-10-27,086900,바이오,0.8039328286233566,336883.0,320038.85,2017-11-02,3,stop_loss,-0.05000000000000007,-0.05410000000000007,A
2017-11-03,900140,자동차,0.772023626269563,2581.0,2681.0,2017-11-13,5,time_exit,0.03874467260751647,0.03464467260751647,A
2017-11-14,079550,방산,0.6246789361342884,57800.0,59400.0,2017-11-22,5,time_exit,0.02768166089965398,0.02358166089965398,A
2017-11-28,221840,방산,0.5807011115751627,7680.0,7860.0,2017-12-06,5,time_exit,0.0234375,0.0193375,A
2017-12-07,079550,방산,0.6082933574552455,56100.0,57800.0,2017-12-15,5,time_exit,0.030303030303030304,0.026203030303030304,A
2017-12-18,075580,조선,0.5742499335964895,1886.0,1880.0,2017-12-27,5,time_exit,-0.003181336161187699,-0.007281336161187698,A
2018-01-03,101000,조선,0.658291657447531,8146.0,7738.7,2018-01-04,0,stop_loss,-0.050000000000000024,-0.05410000000000002,A
2018-01-08,097800,반도체,0.5852935592440731,852.0,833.0,2018-01-16,5,time_exit,-0.022300469483568074,-0.026400469483568074,A
2018-01-19,001390,자동차,0.5975517857557603,5460.0,5187.0,2018-01-26,4,stop_loss,-0.05,-0.0541,A
2018-01-29,000040,자동차,0.5676061861578818,7286.0,6921.7,2018-02-05,4,stop_loss,-0.050000000000000024,-0.05410000000000002,A
2018-02-06,064290,반도체,0.8511608292149287,4345.0,4127.75,2018-02-07,0,stop_loss,-0.05,-0.0541,A
2018-02-08,086960,소프트웨어,0.6508094100939399,4704.0,4468.8,2018-02-12,1,stop_loss,-0.04999999999999996,-0.05409999999999996,A
2018-02-13,005387,자동차,0.8565413471759991,94500.0,96100.0,2018-02-23,5,time_exit,0.016931216931216932,0.012831216931216933,A
2018-02-28,036570,게임,0.6082874778709357,370000.0,392500.0,2018-03-09,5,time_exit,0.060810810810810814,0.056710810810810815,A
2018-03-12,201490,게임,0.6314659107765558,9330.0,8863.5,2018-03-20,5,stop_loss,-0.05,-0.0541,A
2018-03-21,065450,방산,0.5715201707294789,3165.0,3006.75,2018-03-22,0,stop_loss,-0.05,-0.0541,A
2018-03-23,014940,조선,0.6714254255863411,1020.0,1035.0,2018-04-02,5,time_exit,0.014705882352941176,0.010605882352941177,A
2018-04-03,101000,조선,0.7340274615181852,5356.0,5088.2,2018-04-06,2,stop_loss,-0.05000000000000003,-0.05410000000000003,A
2018-04-09,065570,조선,0.6360427682607318,7530.0,7530.0,2018-04-17,5,time_exit,0.0,-0.0040999999999999995,A
2018-04-18,005870,방산,0.5827572702981108,12150.0,11542.5,2018-04-23,2,stop_loss,-0.05,-0.0541,A
2018-04-25,114450,제약,0.6502597150207389,5722.0,5435.9,2018-04-30,2,stop_loss,-0.050000000000000065,-0.054100000000000065,A
2018-05-02,099320,방산,0.6486022109988405,14788.0,15620.0,2018-05-11,5,time_exit,0.05626183391939411,0.05216183391939411,A
2018-05-14,036570,게임,0.5824073619819949,334000.0,367400.00000000006,2018-05-16,1,take_profit,0.10000000000000017,0.09590000000000018,A
2018-05-17,085310,조선,0.6242336825829864,2095.0,1990.25,2018-05-25,4,stop_loss,-0.05,-0.0541,A
2018-05-28,145020,바이오,0.6513286293610597,160958.0,162118.0,2018-06-05,5,time_exit,0.0072068489916624215,0.003106848991662422,A
2018-06-07,036570,게임,0.6879269458859094,355000.0,357000.0,2018-06-18,5,time_exit,0.005633802816901409,0.0015338028169014093,A
2018-06-19,016670,소프트웨어,0.566217885292307,36517.0,34691.15,2018-06-27,5,stop_loss,-0.04999999999999996,-0.05409999999999996,A
2018-06-29,103230,조선,0.6385869485570104,12700.0,12065.0,2018-07-02,0,stop_loss,-0.05,-0.0541,A
2018-07-03,054540,조선,0.6125407790585874,3850.0,3880.0,2018-07-11,5,time_exit,0.007792207792207792,0.0036922077922077927,A
2018-07-12,077970,조선,0.6005734663813995,10350.0,9832.5,2018-07-18,3,stop_loss,-0.05,-0.0541,A
2018-07-19,230980,방산,0.6136359788300503,1150.0,1204.0,2018-07-27,5,time_exit,0.04695652173913043,0.04285652173913043,A
2018-08-02,253450,엔터,0.565130966387741,100000.0,95000.0,2018-08-06,1,stop_loss,-0.05,-0.0541,A
2018-08-09,005870,방산,0.6118744528944244,9260.0,8797.0,2018-08-13,1,stop_loss,-0.05,-0.0541,A
2018-08-14,151860,자동차,0.6532341943876842,3830.0,3995.0,2018-08-23,5,time_exit,0.04308093994778068,0.03898093994778068,A
2018-08-24,080580,반도체,0.5624953820602281,1725.0,1700.0,2018-09-03,5,time_exit,-0.014492753623188406,-0.018592753623188407,A
2018-09-06,251270,게임,0.6296484495414704,115000.0,116000.0,2018-09-14,5,time_exit,0.008695652173913044,0.004595652173913044,A
2018-09-17,197140,소프트웨어,0.5615430454760538,5261.0,5787.1,2018-09-19,1,take_profit,0.10000000000000007,0.09590000000000007,A
2018-10-01,192080,게임,0.6207555644056116,58092.0,55187.399999999994,2018-10-11,5,stop_loss,-0.0500000000000001,-0.0541000000000001,A
2018-10-12,032820,방산,0.8652910920381205,1345.0,1479.5000000000002,2018-10-18,3,take_profit,0.10000000000000017,0.09590000000000018,A
2018-10-19,086900,바이오,0.7932987671869671,376421.0,357599.95,2018-10-23,1,stop_loss,-0.04999999999999997,-0.05409999999999997,A
2018-10-25,010820,방산,0.9417003396566833,3505.0,3329.75,2018-10-26,0,stop_loss,-0.05,-0.0541,A
2018-10-29,032820,방산,0.9049879110505326,850.0,935.0000000000001,2018-10-30,0,take_profit,0.10000000000000013,0.09590000000000012,A
2018-10-31,215090,방산,0.6603486391542093,9840.0,10824.0,2018-11-01,0,take_profit,0.1,0.09590000000000001,A
2018-11-02,035460,방산,0.62121796861164,2150.0,2150.0,2018-11-12,5,time_exit,0.0,-0.0040999999999999995,A
2018-11-13,200350,엔터,0.6888515707754655,1275.0,1402.5,2018-11-14,0,take_profit,0.1,0.09590000000000001,A
2018-11-15,010820,방산,0.6646155008848458,3170.0,3090.0,2018-11-23,5,time_exit,-0.025236593059936908,-0.029336593059936907,A
2018-11-26,002630,바이오,0.7526423611594241,1525.0,1448.75,2018-11-28,1,stop_loss,-0.05,-0.0541,A
2018-11-29,002630,바이오,0.5529615774911918,1446.0,1373.7,2018-12-06,4,stop_loss,-0.04999999999999997,-0.05409999999999997,A
2018-12-07,208640,게임,0.6396448293095677,1094.0,1039.3,2018-12-10,0,stop_loss,-0.050000000000000044,-0.054100000000000044,A
2018-12-11,109960,제약,0.6609731640460298,759.0,721.05,2018-12-17,3,stop_loss,-0.05000000000000006,-0.05410000000000006,A
2018-12-18,185490,바이오,0.6491961328639855,9525.0,9048.75,2018-12-21,2,stop_loss,-0.05,-0.0541,A
2018-12-24,058970,소프트웨어,0.669781925142898,1905.0,2095.5,2018-12-26,0,take_profit,0.1,0.09590000000000001,A
2018-12-27,230980,방산,0.5937688478445508,1403.0,1431.0,2019-01-08,5,time_exit,0.019957234497505347,0.015857234497505347,A
2019-01-09,185490,바이오,0.5658140469642308,9391.0,8921.449999999999,2019-01-10,0,stop_loss,-0.050000000000000114,-0.05410000000000011,A
2019-01-11,049470,소프트웨어,0.5797321736813604,968.0,988.0,2019-01-21,5,time_exit,0.02066115702479339,0.01656115702479339,A
2019-01-22,900140,자동차,0.6084868684072756,1589.0,1556.0,2019-01-30,5,time_exit,-0.02076777847702958,-0.02486777847702958,A
2019-01-31,900140,자동차,0.5837853213763273,1549.0,1703.9,2019-02-11,3,take_profit,0.10000000000000006,0.09590000000000007,A
2019-02-14,160550,엔터,0.5745476000380035,4660.0,5126.0,2019-02-22,5,take_profit,0.1,0.09590000000000001,A
2019-02-25,900140,자동차,0.7682511278689819,1677.0,1593.1499999999999,2019-03-04,3,stop_loss,-0.05000000000000008,-0.05410000000000008,A
2019-03-05,084990,바이오,0.6140523185486678,162112.0,154006.4,2019-03-07,1,stop_loss,-0.05000000000000004,-0.05410000000000004,A
2019-03-12,012170,엔터,0.5880169209527759,6659.0,6326.049999999999,2019-03-19,4,stop_loss,-0.05000000000000011,-0.054100000000000106,A
2019-03-20,012510,소프트웨어,0.5923672796827847,46000.0,45500.0,2019-03-28,5,time_exit,-0.010869565217391304,-0.014969565217391304,A
2019-04-01,151860,자동차,0.5977634687838169,3900.0,3705.0,2019-04-03,1,stop_loss,-0.05,-0.0541,A
2019-04-04,166480,바이오,0.7281115181796858,11371.0,11329.0,2019-04-12,5,time_exit,-0.003693606542960162,-0.007793606542960161,A
