code,date,crd_remn_rt,crd_remn_chg_5d,prm_net_5d_ratio,prm_net_5d_raw
000250,20200723,6.43,6.433123189135692,,
000250,20200805,7.08,2.316129288162738,,
000250,20200806,7.01,1.0025203310102704,,
000250,20200807,7.37,4.447739019465868,,
000250,20200810,7.57,4.873638577840422,,
000250,20200828,8.16,13.504679830477118,,
000250,20201208,8.01,3.5219935294464655,,
000250,20201210,7.86,2.321178965840076,,
000250,20201221,7.12,-9.594180422932052,,
000250,20230207,6.35,4.307771631933965,4.0677153339129956e-08,1219.0
000250,20230303,7.25,7.054852386182953,9.88262932730566e-08,3536.0
000250,20230306,7.54,12.424614026427205,1.0658310519067951e-07,3536.0
000250,20230324,8.17,1.3684952521316518,1.0243108790741279e-08,675.0
000250,20230327,8.42,6.161350744935046,6.575527619176813e-08,26090.0
000250,20230328,8.51,5.763916884693909,1.576486051370767e-07,33815.0
000250,20230412,8.47,9.794284222592985,6.482493460644825e-09,892.0
000250,20230413,8.56,12.77500983878246,5.106063707730645e-09,892.0
000250,20240325,7.36,0.074278290591967,7.077465699402002e-08,20554.0
000250,20240326,7.3,-0.5964628380062287,2.974120541872432e-08,39566.0
000250,20240619,7.28,9.0819201741275,5.191698489006156e-08,41631.0
000250,20240703,6.79,0.6084520390326809,1.525277722199054e-08,10676.0
000250,20240705,6.62,-0.5301521222706107,5.24766702957923e-08,31595.0
000250,20240709,6.45,-4.771996837037607,1.9304563988376115e-07,65307.0
000250,20240710,6.48,-4.562222776165359,1.64354932735815e-07,88769.0
000250,20250922,5.45,2.5308882736284177,2.780908722874081e-07,50201.0
000250,20260116,5.31,-1.4740136789227365,1.870738988747867e-07,30848.0
000250,20260122,5.39,4.5385460810329015,4.029639915333696e-08,15929.0
000250,20260123,5.34,0.5660335020027052,8.612305633232795e-08,49274.0
000250,20260126,5.32,1.4326659167239741,2.0553366194088492e-07,58287.0
000250,20260127,5.11,-2.615924548055726,3.128249843278247e-07,68847.0
000250,20260128,5.07,-4.303797265095611,4.002747498199285e-07,98537.0
000250,20260129,5.0,-7.14065276090664,4.967631185856078e-07,131283.0
000250,20260203,4.46,-12.753718458114038,6.847079601694464e-07,138606.0
000250,20260204,4.26,-15.886261109148824,4.995463758487113e-07,114734.0
000250,20260219,3.71,-4.310181353823561,3.8500606005638003e-07,83320.0
000250,20260220,3.69,-3.6363878517742476,8.617715618052827e-07,80421.0
000250,20260226,3.55,-4.333875917400453,7.406355836194565e-08,42564.0
000250,20260227,3.55,-3.8938542338523896,1.9542215924726036e-07,81434.0
000250,20260320,3.15,-1.681735721943134,2.1325998708079455e-07,122256.0
000250,20260325,3.04,-4.411059762615954,1.669147285803342e-07,67417.0
000250,20260326,3.03,-4.269149140645901,2.365811126877642e-07,61649.0
000440,20200103,1.36,-27.687346306680393,,
000440,20200106,1.49,1.163181458475604,,
000440,20210415,2.59,-2.6552495934617837,,
000440,20210416,2.3,-17.6409716941759,,
000440,20210510,2.89,2.0407007047839265,,
000440,20210511,3.47,29.88264627261068,,
000440,20210512,2.43,-13.642632161402911,,
000440,20210603,3.39,55.966210638046945,,
000440,20220214,4.17,30.044769191609145,2.8260886065033747e-09,401.0
000440,20220223,4.08,13.517005984288467,1.093176780434265e-08,1838.0
000440,20220224,3.73,9.450126677301295,9.824839381535137e-09,1836.0
000440,20220225,3.96,13.766207455429491,6.096418570648233e-09,2652.0
000440,20231018,1.1,-55.79434828772818,5.174823636055329e-09,567.0
000440,20260304,2.36,-5.1908475469805815,2.053335207778971e-08,1202.0
001000,20200619,0.63,9.4852107705798,,
001000,20250401,0.0,,9.772467035072052e-09,123.0
001000,20251105,0.0,37.821482602117996,2.1057118173778364e-08,220.0
001540,20200903,3.13,0.6823810680981923,,
001540,20251202,0.83,-12.141367137355585,7.868277582491945e-08,196.0
001810,20210119,3.32,-6.189862230707133,,
001810,20210120,3.47,8.17741906082654,,
001810,20260416,0.1,-3.3785777515491278,2.042199229523908e-09,12.0
001840,20200812,3.18,3.5166978302588303,,
001840,20210119,4.83,10.667866969747042,,
002230,20201006,1.68,5.439571450838687,,
002230,20201008,1.62,7.258568331167381,,
002230,20210121,1.29,-15.05719729914553,,
002230,20210126,1.2,-11.702360180338378,,
002230,20210222,1.25,6.039119804400972,,
002230,20210719,3.07,4.718284411109219,2.1086812020657226e-08,260.0
002230,20230523,0.01,0.0,7.656442934705512e-08,125.0
002230,20250728,0.02,30.296052631578952,4.3538967689407094e-08,84.0
002230,20251209,0.01,68.11989100817439,2.0507392003336868e-09,14.0
002230,20251210,0.01,68.11989100817439,1.6094217088416202e-08,223.0
002230,20251211,0.02,198.63760217983653,2.5461622075927794e-08,293.0
002230,20251212,0.28,3771.3215258855585,8.680387238296138e-08,293.0
002230,20251215,0.27,3552.6566757493183,6.330964726809078e-08,298.0
002230,20251226,0.12,-32.04793715416153,9.288804658122926e-09,72.0
002230,20251229,0.12,-29.134525214024265,8.999444190951975e-09,80.0
002230,20251230,0.12,-16.086972095855568,7.595509801292264e-09,63.0
002230,20260102,0.12,-12.317999775423882,3.629830557867282e-09,41.0
002230,20260116,0.02,4452.0,4.386995515820659e-08,1958.0
002230,20260119,0.05,11395.0,4.5107602284949144e-08,1607.0
002290,20201117,5.75,134.31416663108558,,
002290,20201224,7.08,5.374567230092575,,
002290,20210405,9.34,-4.895720826557303,,
002290,20210406,9.2,-5.726936209987388,,
002290,20210531,8.96,5.363885946846181,,
002290,20210607,9.51,6.129304314519546,,
002290,20210623,10.81,11.437890853092814,,
002680,20201119,0.24,14.525232403718459,,
002680,20201120,0.26,44.95053384268783,,
002680,20201130,0.26,28.550143517605562,,
002680,20220425,0.02,318.1762545899633,3.905385766653914e-09,129.0
002680,20220426,0.01,-6.19335347432024,4.184446742798732e-09,277.0
002680,20220519,0.0,,2.0526087590720816e-08,6668.0
002800,20200723,6.39,-0.3416318670263707,,
002800,20200724,6.04,-5.499466461216473,,
002800,20230921,1.16,5.702409058201563,2.5871626003082976e-09,67.0
002800,20230922,1.16,-1.1329994435169688,6.657818595832451e-09,916.0
003100,20201006,0.65,35.1777674274181,,
003100,20201008,0.85,60.451119361007976,,
003100,20201026,3.26,140.29127831409625,,
003100,20201111,5.45,20.47754189271853,,
003100,20201113,5.52,0.6540601404159574,,
003100,20201116,5.56,2.0579768137205967,,
003100,20210413,12.21,-4.49036484732499,,
003100,20210427,12.21,2.080005468036039,,
003100,20210625,12.83,1.855848338861854,,
003100,20210629,12.75,1.192804231786715,,
003100,20210709,12.28,-1.761160271033424,,
003100,20210726,12.72,-0.6613060883892574,6.597065732141788e-07,1221.0
003100,20210727,12.72,-0.6384531408748395,9.231232192797818e-07,1293.0
003100,20210916,13.69,-0.8276681073938086,1.992090175204039e-07,341.0
003100,20210917,13.7,-0.4362238526982587,1.2851327830854177e-07,138.0
003100,20211008,14.01,2.626812297501302,2.1074413402483947e-08,36.0
003100,20211028,13.16,-2.529943779027133,6.422315405261482e-07,3144.0
003100,20211215,11.99,-3.758468221229927,1.012763540305334e-06,1564.0
003100,20211216,11.83,-5.358187603793308,8.438767066929045e-07,2254.0
003100,20211217,11.7,-5.069725314092666,1.4521884557134954e-06,2825.0
003100,20220112,12.19,6.952481464518745,3.395019964874066e-07,976.0
003100,20220121,12.45,0.21308401650579345,2.236012541108787e-07,773.0
003100,20220321,13.33,0.8377492203721415,4.820733692036881e-07,612.0
003100,20220414,13.22,0.29223616356497395,8.274977788672704e-07,2392.0
003100,20220524,12.21,-3.2635329206365915,2.612274478028162e-07,1041.0
003100,20220525,12.2,-3.8958329607972852,8.998779018843864e-07,1369.0
003100,20220526,12.11,-4.61253820222306,6.6686290226689e-07,1157.0
003100,20220607,12.17,1.6892067143151834,2.899041368967868e-07,329.0
