date,code,strategy,entry_date,exit_date,net_pct,gross_pct,score_tv,news_sent_7d,news_cnt_7d,crd_remn_rt_x,crd_remn_chg_5d_x,for_net5_db,ins_net5_db,rsi_db,macd_hist_db,bb_pct_db,rsi14,atr_pct,vol_ratio,tv_ratio,for_5d,ins_5d,mcap_class,vix,vix_chg_5d,sox_ret_5d,usdkrw_chg_5d,kospi_ret_20d,crd_remn_rt_y,crd_remn_chg_5d_y,prm_net_5d_ratio,prm_net_5d_raw,stop_pct_used,entry_price,stop_hit,stop_net,actual_net,stop_better
20190626,048410,h252_40,20190627,20190822,-40.0463,-39.7163,672703196400.0,,0,,,971.0,-61.0,83.75,95.5719,,70.1841,6.8492,12.1285,13.5992,1.3599,-0.0846,3.0,16.21,9.8983,1.0415,-0.407,2.6114,3.85,6.562310985206676,,,-10.0,21150.0,True,-10.245,-40.046,True
20190626,159580,h252_40,20190627,20190822,-33.3735,-33.0435,14742030300.0,,0,,,697.0,3463.0,83.34,173.7048,,71.8951,7.2324,4.7376,5.5535,2.5031,12.4376,3.0,16.21,9.8983,1.0415,-0.407,2.6114,0.57,47.045101088646966,,,-10.0,13800.0,True,-10.245,-33.374,True
20190626,255440,h252_40,20190627,20190822,-16.8212,-16.4912,10104761650.0,,0,,,790.0,5713.0,,,,76.3975,5.3842,1.4911,1.7703,2.1634,15.6257,3.0,16.21,9.8983,1.0415,-0.407,2.6114,2.74,30.917846198745067,,,-10.0,28500.0,True,-10.245,-16.821,True
20190627,099520,h252_40,20190628,20190823,-33.9838,-33.6538,1467661560.0,,0,,,417.0,-3.0,,,,76.3034,5.2996,3.0401,3.548,12.1881,,3.0,15.82,2.7273,3.2896,-0.407,3.2584,0.58,1.0468573342824916,,,-10.0,2080.0,True,-10.245,-33.984,True
20190627,950110,h252_40,20190628,20190823,-39.7744,-39.4444,6453235700.0,,0,,,,,,,,77.0291,4.3928,3.629,4.2672,0.7608,4.8731,3.0,15.82,2.7273,3.2896,-0.407,3.2584,,,,,-10.0,18000.0,True,-10.245,-39.774,True
20190627,038160,h252_40,20190628,20190823,8.0033,8.3333,66787206250.0,,0,,,,,,,,86.5245,5.768,11.6458,14.1192,-9.0371,,3.0,15.82,2.7273,3.2896,-0.407,3.2584,,,,,-10.0,10200.0,True,-15.441,8.003,False
20190627,088290,h252_40,20190628,20190823,-17.83,-17.5,6697138085.0,0.0,2,,,-314.0,-19.0,88.73,143.5469,1.0396,88.7275,7.3809,2.1332,3.324,-6.131,,3.0,15.82,2.7273,3.2896,-0.407,3.2584,0.28,-68.91997667137332,,,-10.0,3600.0,True,-10.245,-17.83,True
20190627,070590,h252_40,20190628,20190823,-14.5294,-14.1994,1498826485.0,,0,,,2.0,-38.0,67.7,21.3613,1.323,67.7018,5.9521,10.9934,12.1689,0.0341,,3.0,15.82,2.7273,3.2896,-0.407,3.2584,0.37,22.839211568749107,,,-10.0,3310.0,True,-10.245,-14.529,True
20190628,023770,h252_40,20190701,20190826,83.0033,83.3333,8944494900.0,0.0,3,,,430.0,0.0,79.52,129.2238,1.3881,79.5184,6.9774,8.311,10.9432,9.0708,,3.0,15.08,2.7273,3.2896,-0.407,2.9728,0.0,,,,-10.0,15900.0,True,-10.245,83.003,False
20190628,207760,h252_40,20190701,20190826,103.9153,104.2453,52196699580.0,,0,,,-348.0,-175.0,90.49,13.3898,,81.4273,5.2191,46.0527,57.9652,-3.2992,,3.0,15.08,2.7273,3.2896,-0.407,2.9728,3.37,7.824814891594722,,,-10.0,4240.0,False,103.915,103.915,False
20190628,038340,h252_40,20190701,20190826,-40.33,-40.0,13444231910.0,,0,,,,,,,,77.9433,18.9922,0.9806,1.77,,,3.0,15.08,2.7273,3.2896,-0.407,2.9728,,,,,-10.0,7500.0,True,-11.578,-40.33,True
20190701,068940,h252_40,20190702,20190827,-38.1786,-37.8486,6439421080.0,,0,,,-113.0,0.0,,,,68.1237,5.1772,13.5994,15.4385,-1.4476,,3.0,14.06,-13.6364,7.6507,0.3496,2.7703,3.85,3.2713920680251585,,,-10.0,2510.0,True,-10.245,-38.179,True
20190701,149950,h252_40,20190702,20190827,-17.5797,-17.2497,2447432690.0,,0,,,273.0,32.0,,,,68.3458,3.6848,3.7415,3.9852,2.0972,,3.0,14.06,-13.6364,7.6507,0.3496,2.7703,0.47,-20.239894523587488,,,-10.0,8290.0,True,-10.245,-17.58,True
20190701,023770,h252_40,20190702,20190827,44.2221,44.5521,2310727450.0,0.0,4,,,429.0,145.0,86.81,300.4848,1.4189,86.8056,6.6314,1.083,1.8314,6.9756,,3.0,14.06,-13.6364,7.6507,0.3496,2.7703,0.21,,,,-10.0,20650.0,True,-10.245,44.222,False
20190702,131400,h252_40,20190703,20190828,11.6898,12.0198,6952948505.0,,0,,,106.0,0.0,,,,75.2405,3.9157,28.2662,31.8434,1.5518,,3.0,12.93,-20.2344,2.8555,1.1349,2.7703,1.76,-0.7867225684802581,,,-10.0,4035.0,True,-10.245,11.69,False
20190702,171010,h252_40,20190703,20190828,15.3843,15.7143,4290525295.0,,0,,,-84.0,99.0,87.05,119.4831,1.5515,87.0503,4.478,27.111,34.9301,,,3.0,12.93,-20.2344,2.8555,1.1349,2.7703,0.38,0.0680812436173905,,,-10.0,6300.0,True,-10.245,15.384,False
20190702,060250,h252_40,20190703,20190828,7.3243,7.6543,23750450900.0,,0,,,3419.0,2547.0,86.39,99.0452,0.8699,86.4125,4.2487,2.1021,2.3666,7.3118,5.446,3.0,12.93,-20.2344,2.8555,1.1349,2.7703,3.02,1.2992136300247203,,,-10.0,20250.0,True,-10.245,7.324,False
20190702,023770,h252_40,20190703,20190828,29.4572,29.7872,2703988850.0,0.0,3,,,423.0,273.0,91.2,541.4743,1.3782,91.1957,6.3843,0.9295,1.9694,5.2945,,3.0,12.93,-20.2344,2.8555,1.1349,2.7703,0.26,836.0433604336043,,,-10.0,23500.0,True,-10.245,29.457,False
20190703,023770,h252_40,20190704,20190829,11.9258,12.2558,60268645850.0,0.0,3,,,301.0,17.0,93.99,857.165,1.336,93.9859,6.207,17.0059,40.1083,2.9035,,3.0,12.57,-20.5436,0.9328,1.1562,-0.1653,0.26,4041.3654618473897,,,-10.0,28150.0,True,-10.245,11.926,False
20190703,048260,h252_40,20190704,20190829,-40.6131,-40.2831,13493282500.0,,0,,,,,,,,64.3727,3.6204,2.2181,2.3046,7.6648,-1.5808,2.0,12.57,-20.5436,0.9328,1.1562,-0.1653,,,,,-10.0,77700.0,True,-10.245,-40.613,True
20190703,171010,h252_40,20190704,20190829,5.4243,5.7543,33972687240.0,,0,,,-84.0,-68.0,91.07,233.792,1.398,91.0689,4.7968,75.9646,100.8647,,,3.0,12.57,-20.5436,0.9328,1.1562,-0.1653,0.44,18.46347319080828,,,-10.0,6430.0,True,-10.245,5.424,False
20190704,052900,h252_40,20190705,20190830,-19.3776,-19.0476,56320041110.0,,0,,,-587.0,122.0,84.1,22.3379,1.5307,84.1019,3.7167,340.3872,414.0368,-9.591,,3.0,12.57,-20.5436,0.9328,1.1562,-0.1458,2.09,-6.843007209218143,,,-10.0,1365.0,True,-14.164,-19.378,True
20190704,123010,h252_40,20190705,20190830,71.4118,71.7418,2055900880.0,,0,,,-53.0,0.0,,,,76.049,5.5245,7.4369,8.7063,-1.2306,,3.0,12.57,-20.5436,0.9328,1.1562,-0.1458,0.32,2.4089129780186624,,,-10.0,8210.0,True,-10.245,71.412,False
20190704,056700,h252_40,20190705,20190830,-34.4069,-34.0769,48377083700.0,,0,,,1929.0,-612.0,80.54,22.2042,,74.7,7.5739,4.412,5.5243,10.2799,-3.2606,3.0,12.57,-20.5436,0.9328,1.1562,-0.1458,4.61,-8.196881091617936,,,-10.0,6500.0,True,-10.245,-34.407,True
20190704,207760,h252_40,20190705,20190830,83.2041,83.5341,82568664450.0,,0,,,-543.0,-286.0,89.13,21.4008,,83.3172,6.4182,12.9794,16.2768,-4.2148,-2.2231,3.0,12.57,-20.5436,0.9328,1.1562,-0.1458,4.29,26.65095360638785,,,-10.0,4980.0,False,83.204,83.204,False
20190705,030350,h252_40,20190708,20190902,-35.33,-35.0,20780160370.0,,0,,,-447.0,198.0,80.72,420.3692,1.5067,80.7326,5.9549,31.8254,41.529,-5.0497,,3.0,13.28,-20.5436,0.9328,1.1562,0.0873,0.58,-0.0032269514989136,,,-10.0,5800.0,True,-11.969,-35.33,True
20190708,005290,h252_40,20190709,20190903,5.4671,5.7971,303902168000.0,,0,,,-12487.0,-15669.0,71.79,372.0662,1.0763,71.786,5.8926,5.9974,6.7821,-17.3484,-21.7693,3.0,13.96,7.966,-1.789,1.2243,-1.4909,4.36,28.40479255937172,,,-10.0,13800.0,False,5.467,5.467,False
20190708,023770,h252_40,20190709,20190903,-46.6157,-46.2857,23905916400.0,-0.25,2,,,-392.0,-48.0,97.15,1795.3909,1.1843,97.1541,10.9366,1.5568,3.4744,,,3.0,13.96,7.966,-1.789,1.2243,-1.4909,0.26,25.51571709233791,,,-10.0,52500.0,True,-10.245,-46.616,True
20190709,254120,h252_40,20190710,20190904,-8.7859,-8.4559,4133350630.0,,0,,,5.0,-1150.0,,,,99.3262,76.3848,inf,inf,,,3.0,14.09,12.0923,-0.6311,1.0788,-1.4909,0.0,,,,-10.0,2720.0,True,-10.245,-8.786,False
20190709,019540,h252_40,20190710,20190904,61.3252,61.6552,59698311750.0,0.0,1,,,-342.0,2.0,72.79,71.9963,1.1917,72.7897,6.4031,12.7685,14.2455,-6.7235,,3.0,14.09,12.0923,-0.6311,1.0788,-1.4909,3.22,-28.39155271983802,,,-10.0,3625.0,False,61.325,61.325,False
20190710,054620,h252_40,20190711,20190905,47.9217,48.2517,13633231670.0,,0,,,508.0,-473.0,85.89,135.8513,0.9987,85.8923,5.5662,2.2903,2.9179,3.439,-3.2079,3.0,13.03,12.0923,-0.6311,0.7197,-1.5282,5.07,26.70301325607852,,,-10.0,7150.0,False,47.922,47.922,False
20190710,254120,h252_40,20190711,20190905,-16.7454,-16.4154,27432673465.0,,0,,,-1.0,-2737.0,,,,99.5641,67.5891,112.6637,132.7382,,,3.0,13.03,12.0923,-0.6311,0.7197,-1.5282,0.0,,,,-10.0,2985.0,True,-10.245,-16.745,True
20190710,060240,h252_40,20190711,20190905,-18.9014,-18.5714,24011756270.0,0.0,15,,,142.0,1.0,72.72,1273.5778,1.4199,72.7223,5.5527,49.5572,59.785,0.8835,,3.0,13.03,12.0923,-0.6311,0.7197,-1.5282,0.34,-0.5104961274721709,,,-10.0,7000.0,True,-10.245,-18.901,True
20190710,207760,h252_40,20190711,20190905,32.9557,33.2857,61923712590.0,,0,,,-988.0,262.0,76.23,10.6527,,74.4214,8.4201,3.5479,4.0786,-6.5895,1.7428,3.0,13.03,12.0923,-0.6311,0.7197,-1.5282,4.39,12.132562019968884,,,-10.0,7000.0,True,-10.245,32.956,False
20190710,019540,h252_40,20190711,20190905,34.5646,34.8946,116727834865.0,,0,,,-375.0,2.0,79.42,115.6937,1.2822,79.4236,7.0394,13.5108,16.2765,-6.5079,,3.0,13.03,12.0923,-0.6311,0.7197,-1.5282,3.34,0.7306591535231277,,,-10.0,4270.0,True,-10.245,34.565,False
20190711,207760,h252_40,20190712,20190906,23.6137,23.9437,158323756820.0,,0,,,76.0,17.0,82.51,51.8876,,78.8156,8.6827,5.8038,8.6806,0.4451,0.0978,3.0,12.93,-2.6355,0.9975,0.7197,-0.8639,4.44,3.5816423029156663,,,-10.0,7100.0,True,-10.245,23.614,False
