account,breaker,daily_cap,ret,mdd,sharpe,n_exec,skip_brk,skip_cap,halt_days,halt_ep,fwd_ret,fwd_mdd,fwd_sharpe
kiwoom,없음,없음,-79.3,-89.4,-0.6,1148,0,0,0,0,40.0,-18.5,0.74
kiwoom,없음,3,-83.2,-90.6,-0.7,1122,0,3795,0,0,29.6,-16.9,0.62
kiwoom,-10%,없음,-4.2,-17.6,-0.05,69,21407,0,1600,1,-10.8,-16.9,-0.51
kiwoom,-10%,3,3.3,-11.8,0.13,62,21466,333,1602,1,-12.6,-16.9,-0.61
kiwoom,-15%,없음,-11.4,-23.8,-0.23,73,21396,0,1598,1,-10.8,-16.9,-0.51
kiwoom,-15%,3,-8.0,-19.9,-0.16,66,21407,333,1600,1,-12.6,-16.9,-0.61
kiwoom,-20%,없음,-11.4,-23.8,-0.23,73,21396,0,1591,1,40.0,-18.5,0.74
kiwoom,-20%,3,-15.0,-26.0,-0.34,69,21396,341,1595,1,29.6,-16.9,0.62
kiwoom,-25%,없음,-20.4,-33.0,-0.37,85,21151,0,1581,1,40.0,-18.5,0.74
kiwoom,-25%,3,-21.7,-33.3,-0.4,81,21186,355,1582,1,29.6,-16.9,0.62
kis,없음,없음,-5.8,-21.7,-0.13,36,0,0,0,0,1.8,-3.3,0.32
kis,없음,3,-5.8,-21.7,-0.13,36,0,0,0,0,1.8,-3.3,0.32
kis,-10%,없음,-18.3,-21.7,-0.77,7,43,0,1501,1,1.8,-3.3,0.32
kis,-10%,3,-18.3,-21.7,-0.77,7,43,0,1501,1,1.8,-3.3,0.32
kis,-15%,없음,-18.3,-21.7,-0.77,7,43,0,1499,1,1.8,-3.3,0.32
kis,-15%,3,-18.3,-21.7,-0.77,7,43,0,1499,1,1.8,-3.3,0.32
kis,-20%,없음,-18.3,-21.7,-0.77,7,43,0,1496,1,1.8,-3.3,0.32
kis,-20%,3,-18.3,-21.7,-0.77,7,43,0,1496,1,1.8,-3.3,0.32
kis,-25%,없음,-5.8,-21.7,-0.13,36,0,0,0,0,1.8,-3.3,0.32
kis,-25%,3,-5.8,-21.7,-0.13,36,0,0,0,0,1.8,-3.3,0.32
