strategy,target,sem,n,win%,avg,d_avg,med,pf,hit_tgt%,hit_stp%,hold,fwd_n,fwd_avg,fwd_d_avg,fwd_win%,fwd_pf
star_high_52w_20_filt,base,-,9937,41.0,1.043,0.0,-4.57,1.11,0.0,0.0,20.0,4001,1.216,0.0,41.3,1.11
star_high_52w_20_filt,+50%,close,9937,41.4,0.989,-0.054,-4.43,1.1,10.4,0.0,19.1,4001,1.168,-0.048,41.8,1.11
star_high_52w_20_filt,+50%,limit,9937,42.1,1.361,0.318,-4.2,1.14,14.5,0.0,18.6,4001,1.563,0.347,42.5,1.15
star_high_52w_20_filt,+60%,close,9937,41.2,0.99,-0.053,-4.5,1.1,7.2,0.0,19.4,4001,1.212,-0.004,41.6,1.11
star_high_52w_20_filt,+60%,limit,9937,41.6,1.401,0.358,-4.35,1.15,10.4,0.0,19.1,4001,1.605,0.389,42.0,1.15
star_high_52w_20_filt,+70%,close,9937,41.1,1.061,0.018,-4.54,1.11,5.3,0.0,19.6,4001,1.196,-0.02,41.4,1.11
star_high_52w_20_filt,+70%,limit,9937,41.4,1.449,0.406,-4.44,1.15,7.8,0.0,19.3,4001,1.752,0.536,41.8,1.17
star_high_52w_20_filt,+80%,close,9937,41.1,1.198,0.155,-4.54,1.12,4.0,0.0,19.7,4001,1.295,0.079,41.4,1.12
star_high_52w_20_filt,+80%,limit,9937,41.3,1.486,0.443,-4.47,1.15,6.0,0.0,19.5,4001,1.808,0.592,41.7,1.17
rsi_reversal,base,-,54463,50.6,0.611,0.0,0.12,1.16,0.0,0.0,5.0,14171,0.351,0.0,47.8,1.09
rsi_reversal,+50%,close,54463,50.6,0.62,0.009,0.13,1.16,0.6,0.0,5.0,14171,0.327,-0.024,47.8,1.09
rsi_reversal,+50%,limit,54463,50.6,0.672,0.061,0.13,1.17,1.3,0.0,5.0,14171,0.426,0.075,47.9,1.11
rsi_reversal,+60%,close,54463,50.6,0.622,0.011,0.13,1.16,0.4,0.0,5.0,14171,0.328,-0.023,47.8,1.09
rsi_reversal,+60%,limit,54463,50.6,0.665,0.054,0.13,1.17,0.8,0.0,5.0,14171,0.397,0.046,47.9,1.1
rsi_reversal,+70%,close,54463,50.6,0.623,0.012,0.13,1.16,0.2,0.0,5.0,14171,0.341,-0.01,47.8,1.09
rsi_reversal,+70%,limit,54463,50.6,0.65,0.039,0.13,1.17,0.4,0.0,5.0,14171,0.379,0.028,47.9,1.1
rsi_reversal,+80%,close,54463,50.6,0.624,0.013,0.13,1.16,0.1,0.0,5.0,14171,0.344,-0.007,47.8,1.09
rsi_reversal,+80%,limit,54463,50.6,0.641,0.03,0.13,1.17,0.3,0.0,5.0,14171,0.353,0.002,47.8,1.09
for_high20_mkt,base,-,7351,36.6,0.798,0.0,-6.92,1.12,0.0,45.9,14.8,2536,1.207,0.0,34.5,1.16
for_high20_mkt,+50%,close,7351,36.7,0.576,-0.222,-6.88,1.09,5.4,45.8,14.4,2536,1.002,-0.205,34.7,1.14
for_high20_mkt,+50%,limit,7351,37.0,0.785,-0.013,-6.72,1.12,7.6,45.7,14.2,2536,1.338,0.131,35.2,1.18
for_high20_mkt,+60%,close,7351,36.6,0.613,-0.185,-6.89,1.09,3.7,45.9,14.6,2536,1.062,-0.145,34.6,1.14
for_high20_mkt,+60%,limit,7351,36.8,0.757,-0.041,-6.87,1.12,5.3,45.8,14.4,2536,1.239,0.032,34.8,1.17
for_high20_mkt,+70%,close,7351,36.6,0.634,-0.164,-6.91,1.1,2.5,45.9,14.6,2536,1.077,-0.13,34.6,1.15
for_high20_mkt,+70%,limit,7351,36.7,0.769,-0.029,-6.89,1.12,3.7,45.9,14.5,2536,1.383,0.176,34.7,1.19
for_high20_mkt,+80%,close,7351,36.6,0.627,-0.171,-6.91,1.1,1.7,45.9,14.7,2536,1.054,-0.153,34.5,1.14
for_high20_mkt,+80%,limit,7351,36.6,0.74,-0.058,-6.9,1.11,2.5,45.9,14.6,2536,1.303,0.096,34.7,1.18
h52w_for3d_mkt,base,-,1956,41.0,1.69,0.0,-4.54,1.22,0.0,33.9,16.5,881,2.166,0.0,39.3,1.25
h52w_for3d_mkt,+50%,close,1956,41.1,1.215,-0.475,-4.49,1.16,7.7,33.9,15.9,881,1.323,-0.843,39.5,1.15
h52w_for3d_mkt,+50%,limit,1956,41.6,1.564,-0.126,-4.29,1.2,10.6,33.5,15.6,881,1.91,-0.256,40.1,1.22
h52w_for3d_mkt,+60%,close,1956,41.1,1.259,-0.431,-4.52,1.16,5.3,33.9,16.1,881,1.515,-0.651,39.4,1.17
h52w_for3d_mkt,+60%,limit,1956,41.2,1.508,-0.182,-4.49,1.19,7.7,33.8,15.9,881,1.678,-0.488,39.5,1.19
h52w_for3d_mkt,+70%,close,1956,41.0,1.243,-0.447,-4.53,1.16,3.6,33.9,16.3,881,1.459,-0.707,39.3,1.17
h52w_for3d_mkt,+70%,limit,1956,41.1,1.541,-0.149,-4.52,1.2,5.6,33.9,16.1,881,1.956,-0.21,39.4,1.22
