code,name,sector,us_proxy
000660,SK하이닉스,semiconductor,SOX
005930,삼성전자,semiconductor,SOX
042700,한미반도체,semiconductor,SOX
060150,인선이엔티,semiconductor,SOX
039030,이오테크닉스,semiconductor,SOX
036930,주성엔지니어링,semiconductor,SOX
095340,ISC,semiconductor,SOX
112040,위메이드,gaming,XLK
036570,엔씨소프트,gaming,XLK
194480,데브시스터즈,gaming,XLK
247540,에코프로비엠,secondary_battery,NDX
066970,엘앤에프,secondary_battery,NDX
086520,에코프로,secondary_battery,NDX
003670,포스코퓨처엠,secondary_battery,NDX
247540,에코프로비엠,secondary_battery,NDX
196170,알테오젠,biotech,XBI
328130,루닛,biotech,XBI
145020,휴젤,biotech,XBI
214450,파마리서치,biotech,XBI
237690,에스티팜,biotech,XBI
005380,현대차,auto,SPX
012330,현대모비스,auto,SPX
005935,삼성전자우,semiconductor,SOX
009150,삼성전기,semiconductor,SOX
006400,삼성SDI,secondary_battery,NDX
035420,NAVER,tech,XLK
035720,카카오,tech,XLK
034220,LG디스플레이,tech,XLK
064760,티씨케이,semiconductor,SOX
047810,한국항공우주,defense,SPX
