scope,strategy,stop,n,win,avg,stopped_pct,slot_ret,slot_mdd,slot_sharpe
full,h252_40,none,14765,40.5,1.22,0.0,-52.94,-82.12,0.05
fwd,h252_40,none,5248,40.9,1.93,0.0,-4.1,-48.99,0.16
full,h252_40,-10.0,14765,27.6,1.13,67.7,33.61,-72.05,0.35
fwd,h252_40,-10.0,5248,26.2,2.21,69.4,102.6,-41.19,0.9
full,h252_40,-15.0,14765,33.5,1.33,54.6,33.12,-65.18,0.33
fwd,h252_40,-15.0,5248,32.1,2.62,57.4,21.56,-57.66,0.41
full,h500_20,none,8496,41.3,0.89,0.0,508.33,-65.52,0.84
fwd,h500_20,none,3235,40.5,-0.02,0.0,-63.32,-69.76,-0.64
full,h500_20,-10.0,8496,32.9,0.62,56.6,-15.47,-66.82,0.22
fwd,h500_20,-10.0,3235,31.1,0.19,60.3,3.82,-58.38,0.32
full,h500_20,-15.0,8496,37.3,0.65,41.0,13.69,-70.72,0.31
fwd,h500_20,-15.0,3235,35.6,0.26,46.0,-28.76,-64.04,-0.04
full,h500_40_MKT,none,6293,41.9,2.34,0.0,17.39,-50.21,0.29
fwd,h500_40_MKT,none,2305,43.4,4.56,0.0,33.29,-44.55,0.57
full,h500_40_MKT,-10.0,6293,28.4,1.77,66.9,33.17,-71.09,0.34
fwd,h500_40_MKT,-10.0,2305,26.8,4.04,69.8,83.46,-27.53,0.89
full,h500_40_MKT,-15.0,6293,34.4,2.15,54.2,176.31,-58.95,0.64
fwd,h500_40_MKT,-15.0,2305,33.3,4.99,58.1,21.53,-26.55,0.48
